mode=full seed=0 output_dir=runs/baseline-20260718T074451Z/full-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mpe2znwl
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_140711-mpe2znwl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run full-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mpe2znwl
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: full-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/full-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:177/4768 | loss 5.575910 | lr:0.00124453 | train_time:771.77s | step:4163.03ms
step:178/4768 | loss 5.615276 | lr:0.00125156 | train_time:775.94s | step:4168.57ms
step:179/4768 | loss 5.627079 | lr:0.00125859 | train_time:780.12s | step:4181.45ms
step:180/4768 | loss 5.563169 | lr:0.00126563 | train_time:784.29s | step:4164.52ms
step:181/4768 | loss 5.527857 | lr:0.00127266 | train_time:788.45s | step:4158.57ms
step:182/4768 | loss 5.587845 | lr:0.00127969 | train_time:792.61s | step:4163.55ms
step:183/4768 | loss 5.513489 | lr:0.00128672 | train_time:796.77s | step:4164.16ms
step:184/4768 | loss 5.599610 | lr:0.00129375 | train_time:800.94s | step:4167.95ms
step:185/4768 | loss 5.566968 | lr:0.00130078 | train_time:805.11s | step:4165.42ms
step:186/4768 | loss 5.562032 | lr:0.00130781 | train_time:809.27s | step:4161.44ms
step:187/4768 | loss 5.677783 | lr:0.00131484 | train_time:813.43s | step:4163.27ms
step:188/4768 | loss 5.648180 | lr:0.00132187 | train_time:817.60s | step:4165.21ms
step:189/4768 | loss 5.485133 | lr:0.00132891 | train_time:821.76s | step:4159.08ms
step:190/4768 | loss 5.617034 | lr:0.00133594 | train_time:825.93s | step:4171.00ms
step:191/4768 | loss 5.638131 | lr:0.00134297 | train_time:830.56s | step:4631.51ms
step:192/4768 | loss 5.528198 | lr:0.00135 | train_time:834.72s | step:4160.54ms
step:193/4768 | loss 5.504828 | lr:0.00135703 | train_time:838.89s | step:4167.43ms
step:194/4768 | loss 5.596968 | lr:0.00136406 | train_time:843.04s | step:4156.30ms
step:195/4768 | loss 5.620061 | lr:0.00137109 | train_time:847.21s | step:4163.26ms
step:196/4768 | loss 5.595421 | lr:0.00137813 | train_time:851.37s | step:4165.47ms
step:197/4768 | loss 5.568698 | lr:0.00138516 | train_time:855.54s | step:4167.83ms
step:198/4768 | loss 5.526165 | lr:0.00139219 | train_time:859.71s | step:4169.06ms
step:199/4768 | loss 5.486031 | lr:0.00139922 | train_time:863.87s | step:4164.34ms
step:200/4768 | loss 5.536015 | lr:0.00140625 | train_time:868.03s | step:4155.32ms
step:201/4768 | loss 5.616014 | lr:0.00141328 | train_time:872.19s | step:4157.58ms
step:202/4768 | loss 5.505271 | lr:0.00142031 | train_time:876.36s | step:4172.41ms
step:203/4768 | loss 5.495154 | lr:0.00142734 | train_time:880.52s | step:4167.09ms
step:204/4768 | loss 5.497687 | lr:0.00143437 | train_time:884.69s | step:4162.88ms
step:205/4768 | loss 5.494869 | lr:0.00144141 | train_time:888.85s | step:4165.89ms
step:206/4768 | loss 5.362097 | lr:0.00144844 | train_time:893.02s | step:4163.24ms
step:207/4768 | loss 5.508311 | lr:0.00145547 | train_time:897.17s | step:4156.91ms
step:208/4768 | loss 5.569549 | lr:0.0014625 | train_time:901.34s | step:4162.88ms
step:209/4768 | loss 5.467809 | lr:0.00146953 | train_time:905.50s | step:4163.88ms
step:210/4768 | loss 5.456150 | lr:0.00147656 | train_time:909.66s | step:4161.93ms
step:211/4768 | loss 5.482369 | lr:0.00148359 | train_time:913.83s | step:4165.78ms
step:212/4768 | loss 5.484853 | lr:0.00149062 | train_time:917.99s | step:4165.58ms
step:213/4768 | loss 5.477605 | lr:0.00149766 | train_time:922.16s | step:4162.30ms
step:214/4768 | loss 5.451262 | lr:0.00150469 | train_time:926.32s | step:4164.95ms
step:215/4768 | loss 5.430336 | lr:0.00151172 | train_time:930.48s | step:4161.24ms
step:216/4768 | loss 5.472914 | lr:0.00151875 | train_time:934.65s | step:4169.18ms
step:217/4768 | loss 5.390511 | lr:0.00152578 | train_time:938.82s | step:4168.29ms
step:218/4768 | loss 5.406216 | lr:0.00153281 | train_time:942.98s | step:4157.96ms
step:219/4768 | loss 5.367988 | lr:0.00153984 | train_time:947.15s | step:4171.15ms
step:220/4768 | loss 5.352167 | lr:0.00154687 | train_time:951.32s | step:4166.32ms
step:221/4768 | loss 5.367854 | lr:0.00155391 | train_time:955.49s | step:4175.18ms
step:222/4768 | loss 5.326393 | lr:0.00156094 | train_time:959.66s | step:4169.72ms
step:223/4768 | loss 5.370573 | lr:0.00156797 | train_time:963.83s | step:4170.33ms
step:224/4768 | loss 5.410370 | lr:0.001575 | train_time:967.99s | step:4161.97ms
step:225/4768 | loss 5.379878 | lr:0.00158203 | train_time:972.17s | step:4173.15ms
step:226/4768 | loss 5.334139 | lr:0.00158906 | train_time:976.33s | step:4162.10ms
step:227/4768 | loss 5.347869 | lr:0.00159609 | train_time:980.50s | step:4171.28ms
step:228/4768 | loss 5.402728 | lr:0.00160312 | train_time:984.68s | step:4179.47ms
step:229/4768 | loss 5.364139 | lr:0.00161016 | train_time:988.84s | step:4160.25ms
step:230/4768 | loss 5.423804 | lr:0.00161719 | train_time:993.01s | step:4166.57ms
step:231/4768 | loss 5.288364 | lr:0.00162422 | train_time:997.17s | step:4165.10ms
step:232/4768 | loss 5.334812 | lr:0.00163125 | train_time:1001.33s | step:4162.11ms
step:233/4768 | loss 5.304248 | lr:0.00163828 | train_time:1005.50s | step:4170.76ms
step:234/4768 | loss 5.302894 | lr:0.00164531 | train_time:1009.68s | step:4173.42ms
step:235/4768 | loss 5.285920 | lr:0.00165234 | train_time:1013.84s | step:4168.00ms
step:236/4768 | loss 5.367469 | lr:0.00165938 | train_time:1018.01s | step:4170.01ms
