mode=proxy seed=0 output_dir=runs/baseline-20260718T074451Z/proxy-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0ty30mlf
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_074458-0ty30mlf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/0ty30mlf
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/proxy-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
/venv/main/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:322: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step:140/1788 | loss 5.801361 | lr:0.0018 | train_time:631.32s | step:4095.27ms
step:141/1788 | loss 5.712191 | lr:0.0018 | train_time:635.41s | step:4098.52ms
step:142/1788 | loss 5.809540 | lr:0.0018 | train_time:639.51s | step:4096.36ms
step:143/1788 | loss 5.754185 | lr:0.0018 | train_time:643.61s | step:4099.13ms
step:144/1788 | loss 5.766352 | lr:0.0018 | train_time:647.73s | step:4115.41ms
step:145/1788 | loss 5.737454 | lr:0.0018 | train_time:651.82s | step:4099.52ms
step:146/1788 | loss 5.679607 | lr:0.0018 | train_time:655.94s | step:4111.65ms
step:147/1788 | loss 5.686246 | lr:0.0018 | train_time:660.05s | step:4110.66ms
step:148/1788 | loss 5.733472 | lr:0.0018 | train_time:664.16s | step:4110.41ms
step:149/1788 | loss 5.757546 | lr:0.0018 | train_time:668.27s | step:4108.59ms
step:150/1788 | loss 5.726954 | lr:0.0018 | train_time:672.36s | step:4092.94ms
step:151/1788 | loss 5.703651 | lr:0.0018 | train_time:676.47s | step:4112.37ms
step:152/1788 | loss 5.623592 | lr:0.0018 | train_time:680.57s | step:4096.19ms
step:153/1788 | loss 5.664689 | lr:0.0018 | train_time:684.69s | step:4126.99ms
step:154/1788 | loss 5.656322 | lr:0.0018 | train_time:688.81s | step:4112.95ms
step:155/1788 | loss 5.704422 | lr:0.0018 | train_time:692.92s | step:4112.85ms
step:156/1788 | loss 5.686202 | lr:0.0018 | train_time:697.03s | step:4113.63ms
step:157/1788 | loss 5.707351 | lr:0.0018 | train_time:701.14s | step:4105.26ms
step:158/1788 | loss 5.608566 | lr:0.0018 | train_time:705.24s | step:4103.19ms
step:159/1788 | loss 5.598454 | lr:0.0018 | train_time:709.34s | step:4097.99ms
step:160/1788 | loss 5.605921 | lr:0.0018 | train_time:713.46s | step:4118.89ms
step:161/1788 | loss 5.599104 | lr:0.0018 | train_time:717.57s | step:4112.57ms
step:162/1788 | loss 5.594974 | lr:0.0018 | train_time:721.68s | step:4111.12ms
step:163/1788 | loss 5.551051 | lr:0.0018 | train_time:725.79s | step:4104.77ms
step:164/1788 | loss 5.578459 | lr:0.0018 | train_time:729.89s | step:4099.89ms
step:165/1788 | loss 5.540385 | lr:0.0018 | train_time:733.99s | step:4102.02ms
step:166/1788 | loss 5.592563 | lr:0.0018 | train_time:738.11s | step:4122.96ms
step:167/1788 | loss 5.556523 | lr:0.0018 | train_time:742.23s | step:4115.24ms
step:168/1788 | loss 5.633137 | lr:0.0018 | train_time:746.33s | step:4107.06ms
step:169/1788 | loss 5.541686 | lr:0.0018 | train_time:750.44s | step:4102.90ms
step:170/1788 | loss 5.530487 | lr:0.0018 | train_time:754.55s | step:4115.32ms
step:171/1788 | loss 5.489979 | lr:0.0018 | train_time:758.66s | step:4108.28ms
step:172/1788 | loss 5.598038 | lr:0.0018 | train_time:762.79s | step:4126.09ms
step:173/1788 | loss 5.522574 | lr:0.0018 | train_time:766.89s | step:4100.52ms
step:174/1788 | loss 5.582862 | lr:0.0018 | train_time:770.99s | step:4101.96ms
step:175/1788 | loss 5.573529 | lr:0.0018 | train_time:775.09s | step:4101.95ms
step:176/1788 | loss 5.540964 | lr:0.0018 | train_time:779.20s | step:4109.52ms
step:177/1788 | loss 5.491421 | lr:0.0018 | train_time:783.31s | step:4110.59ms
step:178/1788 | loss 5.517416 | lr:0.0018 | train_time:787.41s | step:4098.92ms
step:179/1788 | loss 5.536927 | lr:0.0018 | train_time:791.54s | step:4124.19ms
step:180/1788 | loss 5.485206 | lr:0.0018 | train_time:795.65s | step:4117.43ms
step:181/1788 | loss 5.431229 | lr:0.0018 | train_time:799.75s | step:4102.27ms
step:182/1788 | loss 5.495881 | lr:0.0018 | train_time:803.86s | step:4105.33ms
step:183/1788 | loss 5.418663 | lr:0.0018 | train_time:807.97s | step:4112.12ms
step:184/1788 | loss 5.502261 | lr:0.0018 | train_time:812.09s | step:4120.58ms
step:185/1788 | loss 5.460609 | lr:0.0018 | train_time:816.19s | step:4099.55ms
step:186/1788 | loss 5.399514 | lr:0.0018 | train_time:820.31s | step:4119.62ms
step:187/1788 | loss 5.514699 | lr:0.0018 | train_time:824.42s | step:4107.17ms
step:188/1788 | loss 5.445709 | lr:0.0018 | train_time:828.52s | step:4100.41ms
step:189/1788 | loss 5.295407 | lr:0.0018 | train_time:832.62s | step:4095.68ms
step:190/1788 | loss 5.415406 | lr:0.0018 | train_time:836.73s | step:4119.22ms
step:191/1788 | loss 5.454381 | lr:0.0018 | train_time:841.26s | step:4522.95ms
step:192/1788 | loss 5.340218 | lr:0.0018 | train_time:845.33s | step:4074.89ms
step:193/1788 | loss 5.349638 | lr:0.0018 | train_time:849.43s | step:4096.49ms
step:194/1788 | loss 5.427190 | lr:0.0018 | train_time:853.53s | step:4105.44ms
step:195/1788 | loss 5.446588 | lr:0.0018 | train_time:857.64s | step:4108.48ms
step:196/1788 | loss 5.422237 | lr:0.0018 | train_time:861.74s | step:4100.75ms
step:197/1788 | loss 5.404459 | lr:0.0018 | train_time:865.85s | step:4106.58ms
step:198/1788 | loss 5.365923 | lr:0.0018 | train_time:869.96s | step:4107.28ms
step:199/1788 | loss 5.337252 | lr:0.0018 | train_time:874.05s | step:4095.80ms
step:200/1788 | loss 5.417354 | lr:0.0018 | train_time:878.16s | step:4107.10ms
step:201/1788 | loss 5.503563 | lr:0.0018 | train_time:882.27s | step:4113.51ms
step:202/1788 | loss 5.406678 | lr:0.0018 | train_time:886.39s | step:4114.06ms
step:203/1788 | loss 5.371199 | lr:0.0018 | train_time:890.49s | step:4102.02ms
step:204/1788 | loss 5.375892 | lr:0.0018 | train_time:894.60s | step:4112.93ms
step:205/1788 | loss 5.372411 | lr:0.0018 | train_time:898.72s | step:4121.03ms
step:206/1788 | loss 5.230775 | lr:0.0018 | train_time:902.83s | step:4104.74ms
step:207/1788 | loss 5.333679 | lr:0.0018 | train_time:906.94s | step:4111.02ms
step:208/1788 | loss 5.354191 | lr:0.0018 | train_time:911.04s | step:4101.83ms
step:209/1788 | loss 5.295756 | lr:0.0018 | train_time:915.15s | step:4104.89ms
step:210/1788 | loss 5.287573 | lr:0.0018 | train_time:919.26s | step:4113.29ms
step:211/1788 | loss 5.314082 | lr:0.0018 | train_time:923.36s | step:4105.41ms
step:212/1788 | loss 5.321657 | lr:0.0018 | train_time:927.47s | step:4108.70ms
step:213/1788 | loss 5.319490 | lr:0.0018 | train_time:931.58s | step:4103.03ms
